mean,LCI,UCI,contrasts,sig,outcome,caution,species,habitat,month,est
-0.2541859768793738,-0.8129204924694988,0.2564820860075849,urbanopen_cntrst_6,No, - , - ,American Goldfinch,Urban open,June,-0.2541859768793738
-0.23498862489354927,-0.6649802565540025,0.23207717843220177,urbanopen_cntrst_7,No, - , - ,American Goldfinch,Urban open,July,-0.23498862489354927
-0.24424694178493198,-0.6820800104939049,0.19639371970517258,urbanopen_cntrst_8,No, - , - ,American Goldfinch,Urban open,August,-0.24424694178493198
-0.4674744598361869,-1.2037692732179726,0.20366487354572052,urbanforest_cntrst_6,No, - , - ,American Goldfinch,Urban forest,June,-0.4674744598361869
78.66239041698717,5.67046550341462,210.87325900576093,urbanforest_cntrst_7,Yes,less vocalization during extremes,large contrast - may be estimation issue,American Goldfinch,Urban forest,July,2
0.6566702441936038,-0.4064736964300799,1.7988671284720776,urbanforest_cntrst_8,No, - , - ,American Goldfinch,Urban forest,August,0.6566702441936038
-0.0306704136535332,-0.6467753302472384,0.6089835874906958,exurbanopen_cntrst_6,No, - , - ,American Goldfinch,Exurban open,June,-0.0306704136535332
0.3494008462557791,-0.22696059735718668,0.9710700726570546,exurbanopen_cntrst_7,No, - , - ,American Goldfinch,Exurban open,July,0.3494008462557791
-0.39053868690672683,-0.9971311815158594,0.19647453812121674,exurbanopen_cntrst_8,No, - , - ,American Goldfinch,Exurban open,August,-0.39053868690672683
0.023063061833321727,-0.82538597829743,1.0286421302424185,exurbanforest_cntrst_6,No, - , - ,American Goldfinch,Exurban forest,June,0.023063061833321727
1.9682320997763498,1.275416317899234,2.8468690997850232,exurbanforest_cntrst_7,Yes,less vocalization during extremes, - ,American Goldfinch,Exurban forest,July,1.9682320997763498
-1.1815615062449125,-1.6606050758224973,-0.694696793401923,exurbanforest_cntrst_8,Yes,more vocalization during extremes, - ,American Goldfinch,Exurban forest,August,-1.1815615062449125
1.7618499918796915,0.996441137082522,2.4425284152316538,urbanopen_cntrst_6,Yes,less vocalization during extremes, - ,American Robin,Urban open,June,1.7618499918796915
-0.7136567061737533,-1.2842125715684483,-0.16320513070546747,urbanopen_cntrst_7,Yes,more vocalization during extremes, - ,American Robin,Urban open,July,-0.7136567061737533
-0.4018514953383545,-1.0968362989706213,0.32151511855270454,urbanopen_cntrst_8,No, - , - ,American Robin,Urban open,August,-0.4018514953383545
1.0026964387320199,0.22526597352042174,1.6271449729345733,urbanforest_cntrst_6,Yes,less vocalization during extremes, - ,American Robin,Urban forest,June,1.0026964387320199
-1.5562904110741602,-2.281958833196377,-0.8510394470531035,urbanforest_cntrst_7,Yes,more vocalization during extremes, - ,American Robin,Urban forest,July,-1.5562904110741602
