mean,LCI,UCI,contrasts,sig,outcome,species,habitat,month,est
-0.06563626502648374,-0.7911782948647729,0.6420057374372222,urbanopen_cntrst_6,No, - ,American Goldfinch,Urban open,June,-0.06563626502648374
-0.06563626502648373,-0.7911782948647729,0.6420057374372222,urbanopen_cntrst_7,No, - ,American Goldfinch,Urban open,July,-0.06563626502648373
-0.06563626502648374,-0.7911782948647729,0.6420057374372222,urbanopen_cntrst_8,No, - ,American Goldfinch,Urban open,August,-0.06563626502648374
-0.2226362099034447,-1.1061390378830414,0.5628060289727681,urbanforest_cntrst_6,No, - ,American Goldfinch,Urban forest,June,-0.2226362099034447
79.69120187911928,4.128732502554335,218.3611477009869,urbanforest_cntrst_7,Yes,less vocalization during extremes,American Goldfinch,Urban forest,July,2
-0.16474021746988246,-1.4811734598613424,1.2040803537964255,urbanforest_cntrst_8,No, - ,American Goldfinch,Urban forest,August,-0.16474021746988246
0.19092359392256608,-0.7454705857333672,0.9908579100663372,exurbanopen_cntrst_6,No, - ,American Goldfinch,Exurban open,June,0.19092359392256608
0.46294409767308303,-0.23777702697320272,1.2249332287086159,exurbanopen_cntrst_7,No, - ,American Goldfinch,Exurban open,July,0.46294409767308303
-0.6123577938342452,-1.3629903736544884,0.06846653077234346,exurbanopen_cntrst_8,No, - ,American Goldfinch,Exurban open,August,-0.6123577938342452
0.6147461286509861,-0.5977280163494691,1.9592924067314326,exurbanforest_cntrst_6,No, - ,American Goldfinch,Exurban forest,June,0.6147461286509861
1.9451041367294393,0.9454126560370703,3.0622391504177977,exurbanforest_cntrst_7,Yes,less vocalization during extremes,American Goldfinch,Exurban forest,July,1.9451041367294393
-0.908572034963599,-1.5393225289669625,-0.29390660898119797,exurbanforest_cntrst_8,Yes,more vocalization during extremes,American Goldfinch,Exurban forest,August,-0.908572034963599
1.8850325542419364,0.8985272055273967,2.8889652956818628,urbanopen_cntrst_6,Yes,less vocalization during extremes,American Robin,Urban open,June,1.8850325542419364
1.8850325542419364,0.8985272055273967,2.8889652956818628,urbanopen_cntrst_7,Yes,less vocalization during extremes,American Robin,Urban open,July,1.8850325542419364
1.8850325542419364,0.8985272055273967,2.8889652956818628,urbanopen_cntrst_8,Yes,less vocalization during extremes,American Robin,Urban open,August,1.8850325542419364
0.9946138954803077,0.19225174689425475,1.8099204941412976,urbanforest_cntrst_6,Yes,less vocalization during extremes,American Robin,Urban forest,June,0.9946138954803077
-1.9023433250496802,-2.85863636943917,-1.075546636121593,urbanforest_cntrst_7,Yes,more vocalization during extremes,American Robin,Urban forest,July,-1.9023433250496802
76.03534618950663,4.385693910856295,207.63043849281573,urbanforest_cntrst_8,Yes,less vocalization during extremes,American Robin,Urban forest,August,2
-0.3776441839100162,-2.3874157692799445,1.4497458775424445,exurbanopen_cntrst_6,No, - ,American Robin,Exurban open,June,-0.3776441839100162
-1.7965758314252966,-4.853636848436811,1.0165020895040462,exurbanopen_cntrst_7,No, - ,American Robin,Exurban open,July,-1.7965758314252966
47.418213266743294,-111.10186772552113,232.74257607348235,exurbanopen_cntrst_8,No, - ,American Robin,Exurban open,August,2
0.7017446780207208,-0.15185540743061232,1.5905401649815283,exurbanforest_cntrst_6,No, - ,American Robin,Exurban forest,June,0.7017446780207208
